"strategy","action","entry_time","result_10min","pnl_value"
"SuperTrend9","Buy","2025-10-01 11:02:02","WIN",50
"Range FRAMA100-3","Buy","2025-10-01 11:03:02","WIN",50
"MWP10-1m","Buy","2025-10-01 11:03:02","WIN",50
"MWP-31","Buy","2025-10-01 11:19:02","LOSE",-50
"UTBOT2-5","Buy","2025-10-01 11:21:02","WIN",50
"Range Filter5","Buy","2025-10-01 11:30:03","LOSE",-50
"MWP20-3m","Buy","2025-10-01 11:30:04","LOSE",-50
"Rang Fillter WR","Buy","2025-10-01 11:30:06","LOSE",-50
"SuperTrend9","Sell","2025-10-01 11:53:02","WIN",50
"MWP10-1m","Sell","2025-10-01 11:53:02","WIN",50
"SuperTrend10","Sell","2025-10-01 11:54:02","WIN",50
"UTBOT2-5","Sell","2025-10-01 11:57:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 12:08:02","WIN",50
"UTBOT2-5","Buy","2025-10-01 12:12:03","LOSE",-50
"SuperTrend9","Sell","2025-10-01 12:59:03","WIN",50
"MWP10-1m","Sell","2025-10-01 13:00:05","WIN",50
"SuperTrend10","Sell","2025-10-01 13:04:03","LOSE",-50
"MWP-31","Sell","2025-10-01 13:21:03","WIN",50
"UTBOT2-5","Sell","2025-10-01 13:24:03","WIN",50
"MWP10-1m","Buy","2025-10-01 13:42:01","LOSE",-50
"SuperTrend9","Buy","2025-10-01 13:45:03","LOSE",-50
"MWP10-1m","Sell","2025-10-01 13:47:01","WIN",50
"SuperTrend9","Sell","2025-10-01 13:47:02","WIN",50
"Rang Fillter WR","Sell","2025-10-01 13:55:03","LOSE",-50
"Range Filter5","Sell","2025-10-01 13:55:03","LOSE",-50
"MWP20-3m","Sell","2025-10-01 13:57:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 14:04:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 14:05:03","LOSE",-50
"UTBOT2-5","Buy","2025-10-01 14:27:02","WIN",50
"SuperTrend9","Sell","2025-10-01 14:39:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 14:39:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 14:44:01","LOSE",-50
"MWP10-1m","Buy","2025-10-01 14:57:02","LOSE",-50
"SuperTrend9","Sell","2025-10-01 15:01:03","LOSE",-50
"Rang Fillter WR","Buy","2025-10-01 15:10:03","WIN",50
"SuperTrend9","Buy","2025-10-01 15:15:04","WIN",50
