"id","action","symbol","strategy","tf","entry_time","entry_price","order_value","order_interval","price_10min","price_10min_ts","price_30min","price_30min_ts","price_60min","price_60min_ts","price_1day","price_1day_ts","result_10min","result_30min","result_60min","result_1day","pnl","created_at","updated_at","trade","martingale","signal_time"
3807,"Sell","BTCUSDT","MWP-20","1","2025-09-11 15:50:04",114057.19891304,0,0,114047.86782609,"2025-09-11 16:00:05",113951.82065217,"2025-09-11 16:20:05",113878.94586957,"2025-09-11 16:50:04",0,,"WIN","WIN","WIN",,0,"2025-09-11 15:50:04","2025-09-11 16:50:04",FALSE,FALSE,
3808,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-11 16:25:04",113978.02804348,0,0,113934.03065217,"2025-09-11 16:35:06",113856.4726087,"2025-09-11 16:55:05",113967.41934783,"2025-09-11 17:25:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 16:25:04","2025-09-11 17:25:05",FALSE,FALSE,
3809,"Buy","BTCUSDT","Range FRAMA3","1","2025-09-11 16:26:03",113998.43282609,0,0,113926.69369565,"2025-09-11 16:36:05",113856.42913043,"2025-09-11 16:56:05",113937.78543478,"2025-09-11 17:26:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 16:26:03","2025-09-11 17:26:05",FALSE,FALSE,
3810,"Buy","BTCUSDT","Range FRAMA3-99","1","2025-09-11 16:26:03",113998.43282609,0,0,113926.69369565,"2025-09-11 16:36:05",113856.42913043,"2025-09-11 16:56:05",113937.78543478,"2025-09-11 17:26:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 16:26:03","2025-09-11 17:26:04",FALSE,FALSE,
3811,"Sell","BTCUSDT","Range FRAMA3-99","1","2025-09-11 16:31:03",113869.67413043,0,0,113876.0673913,"2025-09-11 16:41:05",113892.17282609,"2025-09-11 17:01:05",113957.20434783,"2025-09-11 17:31:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 16:31:03","2025-09-11 17:31:05",FALSE,FALSE,
3812,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-11 16:31:03",113869.67413043,0,0,113876.0673913,"2025-09-11 16:41:05",113892.17282609,"2025-09-11 17:01:05",113957.20434783,"2025-09-11 17:31:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 16:31:03","2025-09-11 17:31:05",FALSE,FALSE,
3813,"Sell","BTCUSDT","Range FRAMA3","1","2025-09-11 16:31:03",113869.67413043,0,0,113876.0673913,"2025-09-11 16:41:05",113892.17282609,"2025-09-11 17:01:05",113957.20434783,"2025-09-11 17:31:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 16:31:03","2025-09-11 17:31:05",FALSE,FALSE,
3814,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-11 16:50:04",113878.94369565,0,0,113896.97891304,"2025-09-11 17:00:05",113978.17652174,"2025-09-11 17:20:05",114050.1326087,"2025-09-11 17:50:05",0,,"WIN","WIN","WIN",,0,"2025-09-11 16:50:04","2025-09-11 17:50:05",FALSE,FALSE,
3815,"Buy","BTCUSDT","MWP-20","1","2025-09-11 16:59:03",113906.40913043,0,0,113940.86195652,"2025-09-11 17:09:04",113944.83782609,"2025-09-11 17:29:04",114044.26086957,"2025-09-11 17:59:04",0,,"WIN","WIN","WIN",,0,"2025-09-11 16:59:03","2025-09-11 17:59:04",FALSE,FALSE,
3816,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-25","1","2025-09-11 17:05:04",113971.43695652,0,0,113960.305,"2025-09-11 17:15:05",114062.59608696,"2025-09-11 17:35:05",114031.23,"2025-09-11 18:05:05",0,,"LOSE","WIN","WIN",,0,"2025-09-11 17:05:04","2025-09-11 18:05:05",FALSE,FALSE,
